product_title,ships_from_to,grams,quality,btc_price,cost_per_gram,cost_per_gram_pure,vendor_name,successful_transactions,rating,ships_from,ships_to,ships_to_US,ships_from_US,ships_to_NL,ships_from_NL,ships_to_FR,ships_from_FR,ships_to_GB,ships_from_GB,ships_to_CA,ships_from_CA,ships_to_DE,ships_from_DE,ships_to_AU,ships_from_AU,ships_to_EU,ships_from_EU,ships_to_ES,ships_from_ES,ships_to_N. America,ships_from_N. America,ships_to_BE,ships_from_BE,ships_to_WW,ships_from_WW,ships_to_SI,ships_from_SI,ships_to_IT,ships_from_IT,ships_to_DK,ships_from_DK,ships_to_S. America,ships_from_S. America,ships_to_CH,ships_from_CH,ships_to_BR,ships_from_BR,ships_to_CZ,ships_from_CZ,ships_to_SE,ships_from_SE,ships_to_CO,ships_from_CO,ships_to_CN,ships_from_CN,ships_to_PL,ships_from_PL,ships_to_GR,ships_from_GR,usd_price,vendor_performance
***** 28 gm uk to uk sociable cocaine 75% pure,GB  → GB,28.0,75.0,0.3698,0.01320714286,0.01760952381,cocaineuk,380,4.93,GB,GB,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
***** 2gram uk to uk pure perivian flake 95%,GB  → GB,2.0,95.0,0.0616,0.0308,0.03242105263,cocaineuk,380,4.93,GB,GB,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
***** 3.5 gm uk to uk sociable cocaine 75% pure,GB  → GB,3.5,75.0,0.0557,0.01591428571,0.02121904762,cocaineuk,380,4.93,GB,GB,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
***** 3.5 gram uk to uk pure perivian flake 95%,GB  → GB,3.5,95.0,0.1027,0.02934285714,0.03088721805,cocaineuk,380,4.93,GB,GB,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
***** 5 gm uk to uk sociable cocaine 75% pure,GB  → GB,5.0,75.0,0.0886,0.01772,0.02362666667,cocaineuk,380,4.93,GB,GB,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
***** 7 gm uk to uk sociable cocaine 75% pure,GB  → GB,7.0,75.0,0.1086,0.01551428571,0.02068571429,cocaineuk,380,4.93,GB,GB,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
***** FREEBIE 0.2 gm uk to uk sociable 75% pure,GB  → GB,0.2,75.0,0.00586,0.0293,0.03906666667,cocaineuk,380,4.93,GB,GB,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
*****14 gram uk to uk pure perivian flake 95%,GB  → GB,14.0,95.0,0.387,0.02764285714,0.02909774436,cocaineuk,380,4.93,GB,GB,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
*****7 gram uk to uk pure perivian flake 95%,GB  → GB,7.0,95.0,0.1995,0.0285,0.03,cocaineuk,380,4.93,GB,GB,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
***Best Cocaine*** UNCUT 90% 100g,"DE  → DE, EU",100.0,90.0,2.47,0.0247,0.02744444444,Barrio,100,5.0,DE,"DE, EU",False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
